Wine Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL,volume,volume_unit,type,ageing,seasons,food_type,course,soil_type,vintage,tasting_notes,Food 1,Grape and Food Type 1,Tasting Notes 1,Food & Wine Acidity 1,Regional Pairing 1,Sweetness & Spiciness 1,Food 2,Grape and Food Type 2,Tasting Notes 2,Food & Wine Acidity 2,Regional Pairing 2,Sweetness & Spiciness 2,Food 3,Grape and Food Type 3,Tasting Notes 3,Food & Wine Acidity 3,Regional Pairing 3,Sweetness & Spiciness 3
2020-chateau-pavie-saint-emilion-grand-cru,,,,,,,,750 ml,,Red wine,Aged in oak barrels for 12 months,Best enjoyed during the winter and spring seasons,,Main course,,4-digit year (2020),,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"The wine's bold, full-bodied flavors complement the richness of the steak.",The wine's dark fruit and spice flavors enhance the savory umami taste of the grilled steak.,Moderate acidity balances the richness of the dish.,This pairing is a classic match in many Western cuisines.,The wine's moderate sweetness and low tannins complement the bold flavors of the steak without overpowering it.,Braised Short Ribs with Wild Mushrooms and Polenta,"The wine's rich, full-bodied flavors complement the slow-cooked meat and mushrooms.","The wine's dark fruit and spice flavors enhance the earthy, savory flavors of the dish.",Moderate acidity balances the richness of the sauce.,This pairing is a common match in many European cuisines.,The wine's moderate sweetness and low tannins complement the bold flavors of the dish without overpowering it.,Pan-Seared Duck Breast with Cherry Compote and Sauteed Spinach,"The wine's rich, full-bodied flavors complement the fatty duck breast and sweet cherry compote.",The wine's dark fruit and spice flavors enhance the savory umami taste of the dish.,Moderate acidity balances the richness of the sauce.,This pairing is a common match in many French cuisines.,The wine's moderate sweetness and low tannins complement the bold flavors of the dish without overpowering it.
2002-chateau-troplong-mondot-saint-emilion-grand-cru,,,,,,,,750 ml,,Red,Aged in oak barrels,"Suitable for spring, summer, and fall",,Main course,,2002,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich meats.,The wine's dark fruit flavors and spices match the beef's bold flavors.,High acidity balances the richness of the dish.,"Traditional pairings in red wine-loving countries like France, Italy, and Spain.",,Braised Short Ribs with Red Wine and Mushrooms,"Rich, full-bodied reds complement slow-cooked meats.",The wine's dark fruit flavors and spices match the beef's bold flavors.,Moderate acidity balances the richness of the dish.,"Classic pairings in red wine-loving countries like France, Italy, and Spain.",,Roasted Veal Chop with Cherry Compote,Off-dry reds complement delicate meats.,The wine's fruit flavors and moderate acidity match the veal's delicate flavor.,Moderate acidity balances the richness of the dish.,"Traditional pairings in red wine-loving countries like France, Italy, and Spain.",
1967-clos-fourtet-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 24 months,"autumn, winter","beef, lamb, game",main course,"limestone, clay, iron rich",1967 (4-digit),"complex flavors of dark fruit, spices, and leather",Pan-seared duck breast with cherry compote,"The rich, dark fruit flavors in the wine complement the duck's savory flesh and the sweetness of the cherry compote.",The wine's subtle spices and leather notes enhance the duck's rich flavor.,Moderate acidity balances the richness of the dish.,Traditional pairing in French cuisine.,Moderate sweetness and spice completeness the meal.,Braised beef short ribs with mushroom gravy,The wine's robust tannins and dark fruit flavors match the beef's richness and the mushroom gravy's earthy notes.,"The wine's acidity cuts through the richness of the dish, while its bold flavors complement the beef's savory taste.",High acidity balances the richness of the dish.,Traditional pairing in French cuisine.,Moderate sweetness and spice completeness the meal.,Roasted baked potato with rosemary and garlic,The wine's crisp acidity and floral notes complement the potato's natural sweetness and the herby flavors of rosemary and garlic.,"The wine's acidity refreshes the palate between bites, while its subtle floral notes enhance the herbal flavors in the dish.",Low acidity balances the richness of the potato.,Unconventional pairing that works well due to the wine's versatility.,
1976-clos-fourtet-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for a minimum of 12 months,"spring, summer",beef or lamb,main course,limestone and clay,1976,"dark fruit, spice, and leather notes complement rich meats.",Grilled Ribeye Steak,"Rich, full-bodied reds complement bold meats.","Earthy and spicy flavors in the wine match the meat's charred, savory surface.",Moderate acidity cuts through the richness without overpowering it.,Traditional pairing for red wines with grilled meats.,Not applicable; leans savory and bold.,Braised Lamb Shanks,Aged red wines complement slow-cooked lamb.,"Fruity, spicy, and leathery flavors in the wine balance the rich lamb.",Moderate acidity helps to balance the lamb's fattiness without overpowering it.,Traditional pairing for red wines with slow-cooked meats in Western cuisine.,Minimal sweetness keeps it savory and hearty.,Roasted Chicken with Herbs,"Light-bodied red wines complement herby, roasted chickens.",Floral and herbal notes in the wine match the roasted chicken's aromatics.,High acidity cuts through any fattiness while keeping the dish light and refreshing.,Traditional pairing for red wines with roasted meats in Mediterranean cuisine.,Not applicable; leans savory and herbaceous.
1981-clos-fourtet-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels,"spring, summer","beef, lamb, or game",main course,limestone and clay,1981,"dark fruit, spice, leather, tobacco",Grilled Beef Tenderloin with Herbs,Full-bodied red wines complement rich meats.,Earthy and spicy flavors match the herbs in grilled meat dishes.,Moderate acidity balances the fattiness of grilled meats.,"Traditional pairings for grand cru Bordeaux include red meat, especially beef and lamb.",Slight sweetness calms bold spices in the dish.,Roasted Chestnuts with Rosemary,Red wines pair well with roasted meats.,Rosemary’s herbal notes complement the wine's dark fruit flavors.,Moderate acidity cuts through richness from roasted meats.,Red wine is a versatile match for roasted meats worldwide.,Minimal sweetness prevents overpowering bold flavors in the dish.,Braised Beef Short Ribs with Mushrooms,"Big red wines complement rich, bold flavors.","Dark fruit, spice, and leather notes match the beef’s braised richness.",Moderate acidity balances the beef’s fattiness.,"Traditional pairings for red Bordeaux include red meat, especially beef and lamb.",
1983-clos-fourtet-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"suitable for drinking throughout the year, but particularly in winter and spring","red meat, game, rich sauces",main course,limestone and clay,1983 (4-digit),"complex flavors of dark fruit, spice, and leather, with a smooth, velvety texture and a long finish.",Grilled ribeye steak with roasted garlic butter,"The bold, full-bodied flavors of the wine match the richness and intensity of the steak.","The wine's dark fruit flavors complement the beef's natural sweetness, while its spicy undertones enhance the garlic butter.",Moderate acidity cuts through the fattiness of the steak.,Classic pairing in fine dining restaurants.,Not applicable; leans savory and bold.,Braised short ribs with mushroom and red wine sauce,"The wine's rich, fruity flavors complement the beef's richness and the mushrooms' earthy undertones.","The wine's fruit flavors match the beef's natural sweetness, while its acidity cuts through the sauce's richness.",Moderate acidity balances the bold flavors of the dish.,Traditional pairing in French cuisine.,Minimal sweetness keeps it savory and bold.,Pan-seared duck breast with cherry compote,"The wine's fruit flavors complement the duck's rich, gamey flavors, while its acidity cuts through the sweetness of the cherry compote.","The wine's fruit flavors match the duck's natural sweetness, while its acidity balances the richness of the dish.",Moderate acidity keeps it fresh and savory.,French pairing in fine dining restaurants.,Minimal sweetness keeps it savory and bold.
2019-annonce-de-belair-monange-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,suitable for drinking year-round,"beef, lamb, or game birds",main course,limestone and clay,2019,"dark fruit, spice, and complexity",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"The wine's rich, fruity flavors complement the bold, savory flavors of grilled meat.",The wine's dark fruit and spice notes enhance the natural flavors of the steak.,Moderate acidity balances the richness of the dish.,Traditional pairing for red wines from Saint-Emilion.,Minimal sweetness and moderate spice level.,Braised Short Ribs with Wild Mushrooms and Polenta,"The wine's rich, fruity flavors complement the bold, savory flavors of braised meat.",The wine's dark fruit and spice notes enhance the natural flavors of the short ribs.,Moderate acidity balances the richness of the dish.,Traditional pairing for red wines from Saint-Emilion.,Minimal sweetness and moderate spice level.,Pan-Seared Duck Breast with Cherry Compote and Sauteed Spinach,"The wine's bright acidity and mineral notes complement the rich, savory flavors of the duck breast.",The wine's citrus and floral notes enhance the natural flavors of the duck.,High acidity balances the richness of the dish.,Traditional pairing for white wines from Saint-Emilion.,Minimal sweetness and moderate spice level.
2020-annonce-de-belair-monange-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,"limestone, clay",2020,"dark fruit, spice, complex structure",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied reds complement rich, savory meats.",Spice and dark fruit flavors match the boldness of the dish.,Moderate acidity cuts through the fattiness of the steak.,"Traditional pairings in the Old World (France, Italy).","Rich, savory flavors balance bold spices and sweet potatoes.",Braised Beef Short Ribs with Carrots and Brussels Sprouts,"Rich, full-bodied reds complement hearty meat.",Dark fruit and spice flavors match the richness of the dish.,Moderate acidity balances sweet vegetables.,"New World pairings (California, Australia).",Balanced flavors complement bold spices and sweet carrots.,Roasted Chicken with Quince and Rosemary,"Crisp acidity complements herby, savory dishes.",Fruity and floral notes match the herbal richness of the quince.,High acidity balances rich chicken and sauces.,"Mediterranean pairings (Greece, Italy).",Minimal sweetness keeps it fresh and savory.
2020-chateau-bellevue-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,"limestone, clay",2020,"dark fruit, spice, leather, tobacco",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied reds pair well with rich, savory meats. The wine's dark fruit flavors and firm tannins will complement the steak's bold flavors.",The wine's spice and leather notes will enhance the roasted garlic flavor in the mashed potatoes.,Moderate acidity balances the richness of the dish.,"Classic pairings from Bordeaux, such as beef bourguignon or boeuf bourguignon, call for a wine like this Bellevue Saint-Emilion Grand Cru.",The wine's moderate sweetness and firm tannins will complement the bold flavors of the steak without overpowering them.,Roasted Vegetable Tart with Goat Cheese and Caramelized Onions,A tangy goat cheese pairs well with the wine's fruit flavors. The caramelized onions add a sweetness that balances the tartness of the wine.,"The wine's floral notes will complement the herbal flavors in the roasted vegetables, while its acidity will cut through any richness from the goat cheese.",will cut through any bold flavors from the onions.,"A versatile pairing for a vegetarian dish that still packs flavor, like this tart.",,Pan-Seared Halibut with Lemon Butter and Microgreens,A crisp white wine like this Bellevue Saint-Emilion Grand Cru will complement the fish's delicate flavor without overpowering it. The lemon butter adds a brightness that balances the richness of the microgreens.,"The wine's floral notes will complement the halibut's seafood flavors, while its acidity will cut through any richness from the butter and microgreens.",Moderate acidity balances the richness of the butter and microgreens without overpowering the delicate flavor of the fish.,"A light, crisp white wine like this Bellevue Saint-Emilion Grand Cru is a great pairing for a delicate seafood dish like halibut.",
2019-chateau-coutet-saint-emilion-grand-cru,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best to drink during the winter and spring seasons,,Main course,,2019,,Grilled ribeye steak with roasted vegetables,"The wine's oaky and spicy notes complement the charred flavors of the grilled steak, while its dark fruit flavors match the richness of the beef.","The wine's tannins balance the fattiness of the steak, creating a harmonious pairing.",,,,Braised lamb shanks with roasted potatoes,"The wine's dark fruit flavors match the lamb's rich, meaty flavors, while its oaky notes complement the dish's savory sauce.","The wine's tannins balance the fattiness of the lamb, creating a harmonious pairing.",pair well with the hearty flavors of the braised lamb.,,,Roasted wild mushroom and truffle tart,"The wine's earthy notes complement the wild mushroom and truffle flavors, while its richness matches the creamy texture of the tart crust.","The wine's subtle oak and fruit notes enhance the complexity of the dish, creating a harmonious pairing.",,,
2020-chateau-coutet-saint-emilion-grand-cru,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best to drink during the winter and spring seasons,,Main course,,2020,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied reds pair well with rich, savory beef dishes.","The wine's dark fruit flavors complement the steak's charred, savory flavors.",Moderate acidity balances the fattiness of the potatoes.,,,Braised Short Ribs with Red Wine Jus,"Rich, full-bodied reds complement the bold flavors of braised short ribs.",The wine's dark fruit and spice notes enhance the richness of the jus.,Moderate acidity balances the fattiness of the ribs.,,,Pan-Seared Duck Breast with Cherry Compote,Fruity and spicy red wines complement the rich flavors of pan-seared duck breast.,"The wine's dark fruit flavors match the duck's savory, slightly gamey flavors.",High acidity balances the richness of the compote.,,
2017-chateau-coutet-les-demoiselles-saint-emilion-grand-cru,,,,,,,,750 ml,mL,red,aged in oak barrels for 12 months,best to drink in winter and spring,"beef, lamb, or game meat",main course,limestone and clay,2017,"complex flavors of dark fruit, spices, and tobacco, with a smooth finish",Grilled Steak with Roasted Vegetables,"Rich, full-bodied reds complement bold meats.",The wine's dark fruit flavors and spices match the steak's charred exterior and juicy interior.,Moderate acidity balances the richness of the dish.,Classic pairing for red wine and grilled meats in France.,Not applicable; lean savory and bold flavors.,Braised Venison with Red Wine and Mushrooms,Full-bodied reds complement game meats' richness.,The wine's dark fruit and spices match the venison's earthy flavors and the mushrooms' umami notes.,Moderate acidity balances the dish's richness.,Traditional pairing for red wine and game meats in Europe.,Not applicable; lean savory and bold flavors.,Cheese Fondue with Chardonnay,"Smooth, creamy whites balance cheese's richness.",The wine's citrus and stone fruit notes complement the cheese's tangy flavors.,Low acidity balances the cheese's richness.,Traditional pairing for Chardonnay and cheese fondue in France.,Minimal sweetness keeps it fresh and savory.
2018-chateau-coutet-les-demoiselles-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone and clay,2018,"dark fruit, spices, smooth tannins",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied red wines complement rich, savory meats.",Spicy flavors in the wine enhance the garlic in the mashed potatoes.,High acidity balances the richness of the steak and potatoes.,"Classic pairings from Bordeaux, France.",Moderate sweetness complements the spicy flavors in the wine.,Braised Lamb Shanks with Carrots and Peas,"Rich, full-bodied wines match the bold flavors of lamb.",Dark fruit and spices in the wine complement the lamb's richness.,High acidity balances the lamb's tenderness and richness.,Traditional pairings from Southwest France.,Moderate sweetness complements the bold flavors in the wine.,Pan-Seared Duck Breast with Cherry Compote,"Fruity, acidic whites complement the richness of the duck.",Bright fruit flavors in the wine enhance the sweetness of the cherry compote.,High acidity balances the richness of the duck and compote.,"Classic pairings from Burgundy, France.",Minimal sweetness complements the spicy flavors in the wine.
2019-chateau-coutet-les-demoiselles-saint-emilion-grand-cru,,,,,,,,750 ml,,Red wine,Aged in oak barrels,Best to drink during the winter months (December to February),,Main course,,2019,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied red wines complement rich, savory meats.","The wine's dark fruit and spices complement the charred, savory flavors of the steak.",Moderate acidity balances the fattiness of the potatoes.,Traditional pairing in many Western countries.,Not applicable; lean savory and bold flavors.,Braised Short Ribs with Carrots and Green Beans,"Rich, full-bodied red wines complement slow-cooked meats.","The wine's dark fruit and spices complement the rich, savory flavors of the short ribs.",Moderate acidity balances the fattiness of the dish.,Traditional pairing in many Western countries.,Not applicable; lean savory and bold flavors.,Roasted Veal Chops with Parsley and Lemon,Light-bodied red wines complement delicate meats.,"The wine's bright acidity cuts through the richness of the veal, while the herbal notes complement the parsley flavors.",High acidity balances the fattiness of the chops.,Traditional pairing in many Mediterranean countries.,Minimal sweetness and no spice; lean savory flavors.
2020-chateau-coutet-les-demoiselles-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone and clay,2020,"dark fruit, spice, and leather notes complement rich meats.",Grilled Ribeye Steak,Full-bodied reds complement bold meat flavors.,"Rich, spicy notes in the wine match the steak's charred, savory flavor.",High acidity cuts through meaty richness.,Traditional pairings for Saint-Emilion grand cru include hearty beef dishes.,Moderate sweetness balances bold flavors.,Braised Lamb Shanks,Complex reds complement slow-cooked meat richness.,"Dark fruit, spice, and leather notes in the wine match the lamb's deep flavors.","Moderate acidity enhances the dish's savory, umami flavors.","Traditional pairings for Saint-Emilion grand cru include rich, gamey meats like lamb.",Not applicable; leans savory and bold.,Roasted Veal Chops,Fruity reds complement delicate meat flavors.,"Bright fruit and floral notes in the wine match the chops' light, refined flavor.",Moderate acidity balances richness without overpowering the dish.,"For a more delicate pairing, try a fruity red from Saint-Emilion grand cru with roasted veal chops.",
1998-chateau-grand-mayne-saint-emilion-grand-cru,,,,,,,,750 ml,,Red,Aged in oak barrels for 18 months,Best to drink between 2020 and 2030,,Main course,,1998,,Volume: 750 ml,,,,,,Volume unit: ml,,,,,,Type: Red,,,,,
2005-chateau-grand-mayne-saint-emilion-grand-cru,,,,,,,,750ml,ml,red,aged in oak barrels,best enjoyed during the winter months,"beef, lamb, or game",main course,limestone and clay,2005,"rich flavors of dark fruit, spice, and leather, with a smooth finish",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"The bold tannins and rich flavors of the wine complement the beef's fattiness, while the acidity cuts through the richness.",The wine's dark fruit flavors and spice notes enhance the beef's savory flavors.,High,Traditional pairing in many Western countries.,Not applicable; leans savory and bold.,Braised Short Ribs with Wild Mushrooms and Polenta,"The wine's rich, fruity flavors complement the beef's savory flavors, while the acidity cuts through any richness.",The wine's fruit notes and spice notes enhance the mushrooms' earthy flavors.,Moderate,"Pairings with hearty, umami-rich dishes are common in European cuisine.",Minimal sweetness and moderate spice levels.,Pan-Seared Duck Breast with Roasted Carrots and Sage,"The wine's acidity and tannins complement the duck's rich flavors, while the fruit notes enhance the roasted vegetables.",The wine's floral and stone fruit notes complement the duck's herbal flavors.,Moderate,"Pairings with rich, savory dishes are common in many Western countries.",Minimal sweetness and moderate spice levels.
1990-chateau-larrosee-saint-emilion,,,,,,,,750 ml,ml,red,aged in oak barrels,"autumn, winter","beef, lamb",main course,limestone,1990,"dark fruit, spice, leather",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied reds complement bold beef flavors.",s complement the steak’s charred flavors.,Moderate acidity balances the richness of the dish.,Classic pairings in Western cuisine.,,Braised Lamb Shanks with Carrots and Onions,"Rich, full-bodied reds complement rich meats.",s complement the lamb’s bold flavors.,Moderate acidity balances the dish’s richness.,Traditional pairings in Middle Eastern cuisine.,,Creamy Brie Cheese with Fresh Fruit,Off-dry to sweet white wines complement creamy cheeses.,s complement the cheese’s richness.,Low acidity keeps it fresh and mellow.,French pairings in bistro cuisine.,
2005-chateau-monbousquet-saint-emilion-grand-cru,,,,,,,,750 ml,mL,red,aged in oak barrels for 12 months,"spring, summer","red meat (e.g., beef, lamb)",main course,limestone and clay,2005,"dark fruit, spice, and leather notes complement rich and savory dishes.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied red wine complements rich and savory beef dishes.,"The wine's dark fruit, spice, and leather notes complement the beef's bold flavors.",Moderate acidity cuts through the fatty richness of the steak.,Traditional pairing for red wine and beef in Western cuisine.,Minimal sweetness and moderate spice level balance each other out.,Pan-Seared Duck Breast with Cherry Compote and Wild Rice Pilaf,Rich and fruity white wine complements the richness of poultry dishes.,The fruit notes in the wine complement the sweetness of the cherry compote.,Moderate acidity cuts through the richness of the duck breast.,Traditional pairing for white wine and poultry in French cuisine.,Slight sweetness balances the spice level from the duck breast.,Baked Brie with Fresh Fruit and Crackers,Off-dry white wine complements the richness and sweetness of dairy dishes.,The fruit notes in the wine complement the sweetness of the brie cheese.,Low acidity balances the richness of the cheese.,Classic pairing for white wine and dairy in French cuisine.,"Minimal sweetness and no spice level, as it's a mild cheese."
2019-chateau-monbousquet-saint-emilion-grand-cru,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Spring and summer,,Main course,,2019,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied reds complement bold beef flavors.","The wine's dark fruit and spice notes complement the beef's richness, while the roasted garlic mashed potatoes provide a creamy contrast to the dish.",,,,Braised Lamb Shanks with Rosemary and Garlic,"Full-bodied reds complement rich, savory lamb flavors.","The wine's dark fruit and spice notes enhance the lamb's richness, while the rosemary and garlic add a herbaceous element to the dish.",,,,"Cheese and Charcuterie Board with Manchego, Prosciutto di Parma, and Brie","Off-dry reds complement the rich, savory flavors of the cheese and charcuterie.","The wine's fruit and spice notes balance the saltiness of the prosciutto di Parma and the richness of the Brie, while the Manchego adds a nutty element to the dish.",,,
2005-chateau-moulin-saint-georges-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"winter, spring","beef, lamb",main course,limestone and clay,2005,"dark fruit, spice, leather, tobacco",Grilled Tenderloin with Herbs,The rich and fruity flavors of the wine complement the herby flavors in the tenderloin.,"The wine's dark fruit flavors match the beef's juiciness, while its spice notes enhance the herbs.",The wine's acidity cuts through the fattiness of the tenderloin.,Traditional pairing in French cuisine.,Moderate sweetness balances the bold flavors.,Roasted Vegetable Stew,The wine's rich and full-bodied flavors complement the heartiness of the stew.,"The wine's dark fruit flavors match the earthy notes in the stew, while its spice notes enhance the herbs.",The wine's acidity cuts through the richness of the stew.,Common pairing in French cuisine with hearty vegetable dishes.,Moderate sweetness balances the bold flavors.,Braised Short Ribs,The wine's rich and fruity flavors complement the tenderness of the short ribs.,"The wine's dark fruit flavors match the beef's juiciness, while its spice notes enhance the sauce.",The wine's acidity cuts through the richness of the sauce.,Traditional pairing in French cuisine with slow-cooked meats.,Moderate sweetness balances the bold flavors.
2019-chateau-moulin-saint-georges-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"autumn, winter, spring","red meat (e.g., beef, lamb), game birds",main course,limestone and clay,2019,"dark fruit, spice, leather, tobacco, complex and full-bodied",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich meats like steak.,"The wine's dark fruit, spice, and leather notes enhance the savory flavors of the steak and mashed potatoes.",Moderate acidity balances the richness of the dish.,Traditional pairing for red wine with red meat in French cuisine.,Not applicable; lean savory and bold flavors.,Pan-Seared Duck Breast with Cherry Compote and Polenta,Off-dry reds complement the richness of poultry.,The wine's dark fruit and spice notes complement the duck breast's rich flavors.,Moderate acidity balances the oily richness of the duck breast.,Italian cuisine often pairs red wine with poultry dishes.,Minimal sweetness and a touch of spice in the wine complement the savory flavors of the dish.,"Braised Short Ribs with Carrots, Celery, and Red Wine Jus",Full-bodied reds complement rich meats like short ribs.,"The wine's dark fruit, spice, and leather notes enhance the savory flavors of the short ribs.",Moderate acidity balances the richness of the jus.,Traditional pairing for red wine with rich meats in French cuisine.,Not applicable; lean savory and bold flavors.
2019-chateau-pindefleurs-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"autumn, winter, spring","red meat (e.g., beef, lamb), game birds",main course,limestone and clay,2019,"dark fruit, spice, leather, tobacco",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,The wine's rich tannins and dark fruit notes complement the bold flavors of grilled red meat.,The wine's spice and leather notes enhance the savory umami flavors in the dish.,High acidity balances the richness of the dish.,Classic pairings between red wine and grilled red meat.,Moderate sweetness and spice balance each other out.,Pan-Seared Duck Breast with Cherry Compote,"The wine's acidity and tannins complement the rich, savory flavors of pan-seared poultry.",The wine's fruit notes enhance the sweetness of the cherry compote.,High acidity balances the richness of the duck breast.,Traditional pairings between red wine and roasted game birds.,Minimal sweetness and spice complement each other.,Braised Beef Short Ribs with Roasted Vegetables,The wine's rich tannins and dark fruit notes complement the bold flavors of braised red meat.,The wine's spice and leather notes enhance the savory umami flavors in the dish.,Moderate acidity balances the richness of the dish.,Classic pairings between red wine and braised red meat.,Minimal sweetness and spice complement each other.
2020-chateau-pindefleurs-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,best to drink between 2023 and 2040,"red meat, game, or rich fish",main course,limestone and clay,2020,"dark fruit, spice, and leather notes complement rich flavors.",Grilled Ribeye Steak with Roasted Garlic Butter,Full-bodied reds match bold flavors.,"Dark fruit, spice, and leather notes complement rich flavors.",Moderate acidity balances fattiness.,Classic pairings for Saint-Emilion wines.,Minimal sweetness keeps it savory and bold.,Roasted Veal Shanks with Marsala Jus,"Rich, full-bodied reds complement bold flavors.","Dark fruit, spice, and leather notes complement rich flavors.",Moderate acidity balances fattiness.,Traditional pairings for Saint-Emilion wines.,Minimal sweetness keeps it savory and bold.,Braised Short Ribs with Portobello Mushrooms,"Rich, full-bodied reds complement bold flavors.","Dark fruit, spice, and leather notes complement rich flavors.",Moderate acidity balances fattiness.,Traditional pairings for Saint-Emilion wines.,Minimal sweetness keeps it savory and bold.
2017-clos-la-madeleine-saint-emilion-grand-cru,,,,,,,,750 ml,ML,Red,Aged in oak barrels,Best served in autumn and winter,"Beef, lamb, or game meats",Main course,Gravelly soils with some limestone,2017,"Dark fruit flavors, spices, and tobacco notes, with a rich and smooth texture.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich meats.,"The wine's dark fruit and spice flavors match the steak's bold flavors, while its smooth texture balances the heartiness of the mashed potatoes.",,,,Braised Lamb Shanks with Roasted Vegetables,"The wine's dark fruit flavors and firm tannins complement the lamb's richness, while its moderate acidity cuts through any fatty sauce.","The wine's fruit and spice notes harmonize with the lamb's earthy flavors, while its smooth texture complements the vegetables' roasted sweetness.",,,,Pan-Seared Duck Breast with Cherry Compote,"The wine's bright acidity and firm tannins cut through the duck's richness, while its fruit notes complement the cherry compote's sweetness.","The wine's citrus and floral notes enhance the duck's herbal flavors, while its smooth texture complements the compote's fruity sweetness.",,,
2018-clos-la-madeleine-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels,"winter, spring, summer","beef, lamb",main course,"limestone, clay",2018,"dark fruit, spice, leather",Grilled Steak with Herbs,"Full-bodied red wines complement rich, grilled meats.",The wine's dark fruit and spice flavors enhance the beef's natural herbs and spices.,Moderate acidity cuts through the fattiness of the steak.,"Classic pairings from Bordeaux, France.",Minimal sweetness balances bold flavors.,Roasted Vegetable Tart,Earthy red wines complement roasted vegetables' natural sweetness.,The wine's dark fruit flavors enhance the vegetables' earthy sweetness.,Moderate acidity cuts through any richness from olive oil or cheese.,Italian red wines with roasted meats and vegetables.,Minimal sweetness balances bold flavors.,Braised Short Ribs with Mushrooms,"Rich, full-bodied red wines complement the beef's natural richness.",The wine's dark fruit flavors enhance the beef's natural sweetness and umami.,Moderate acidity cuts through any richness from butter or cream sauce.,"Traditional pairings from France, Spain, or Italy.",Minimal sweetness balances bold flavors.
2019-clos-la-madeleine-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 18 months,"winter, spring, summer, fall","red meat (e.g., beef, lamb), game birds (e.g., pheasant, quail)",main course,limestone and clay,2019,"dark fruit, spice, leather, tobacco, subtle oak",Pan-seared duck breast with cherry compote,"The wine's rich tannins and dark fruit complement the duck's fattiness, while the acidity cuts through the sweetness of the cherry compote.",The wine's spice and leather notes enhance the duck's gamey flavors.,Balances the richness of the duck and the sweetness of the cherries.,"Classic pairing from Bordeaux, where the wine is produced.",Moderate spice level complements the duck's savory flavors.,Grilled flank steak with roasted vegetables,"The wine's acidity and tannins complement the steak's bold flavors, while its fruit notes balance the richness of the roasted vegetables.",The wine's dark fruit notes enhance the steak's beefy flavors.,Balances the richness of the steak and the sweetness of the roasted vegetables.,"Classic pairing from Saint-Emilion, where the wine is produced.",Slight spice level complements the steak's savory flavors.,Braised short ribs with mushroom and bacon,"The wine's rich tannins and dark fruit complement the short ribs' fattiness, while its acidity cuts through the richness of the braising liquid.",The wine's spice and leather notes enhance the short ribs' savory flavors.,Balances the richness of the short ribs and the braising liquid.,"Classic pairing from Saint-Emilion, where the wine is produced.",Moderate spice level complements the short ribs' savory flavors.
